Timestamp,SHD,sSCRT,Ratio,CP
2022-02-23 01:02:20.838485+00:00,9117.28242556,79595.397825,0.11454534652374547,725693721.7453291
2022-02-23 01:03:26.263753+00:00,9115.93504459,79607.195465,0.11451144574736213,725694022.9409196
2022-02-23 01:03:58.726517+00:00,9106.63272646,79688.741653,0.11427753202722542,725696102.667626
2022-02-23 01:05:05.106562+00:00,9106.31485974,79691.531095,0.11426954325779477,725696173.8058307
2022-02-23 01:05:39.439298+00:00,9094.93642154,79791.511095,0.11398375963467522,725698720.3876284
2022-02-23 01:06:44.474510+00:00,9094.93642154,79791.511095,0.11398375963467522,725698720.3876284
2022-02-23 01:07:17.878545+00:00,9072.26471674,79991.471095,0.11341540032393624,725703800.855296
2022-02-23 01:07:50.235435+00:00,9072.26471674,79991.471095,0.11341540032393624,725703800.855296
2022-02-23 01:08:28.872699+00:00,9067.86690325,80030.375011,0.11330531566300472,725704788.8169327
2022-02-23 01:09:01.490529+00:00,9057.14788301,80125.356011,0.11303722484261526,725707198.5704513
2022-02-23 01:09:33.902521+00:00,9057.14788301,80125.356011,0.11303722484261526,725707198.5704513
2022-02-23 01:10:39.565370+00:00,9050.61610639,80183.344411,0.11287401607993275,725708668.3904132
2022-02-23 01:11:12.722499+00:00,9050.61610639,80183.344411,0.11287401607993275,725708668.3904132
2022-02-23 01:11:46.022557+00:00,9050.61610639,80183.344411,0.11287401607993275,725708668.3904132
2022-02-23 01:12:18.626521+00:00,9043.86901634,80243.332411,0.11270555128515874,725710187.7597142
2022-02-23 01:13:24.214542+00:00,9043.86901634,80243.332411,0.11270555128515874,725710187.7597142
2022-02-23 01:13:56.624116+00:00,9040.05954954,80277.404338,0.11261026217885337,725712515.6980206
2022-02-23 01:14:29.022369+00:00,9040.05954954,80277.404338,0.11261026217885337,725712515.6980206
2022-02-23 01:15:01.498584+00:00,9040.05954954,80277.404338,0.11261026217885337,725712515.6980206
2022-02-23 01:15:35.105147+00:00,9023.80931071,80422.375338,0.11220520747844911,725716179.3644586
2022-02-23 01:17:12.092577+00:00,9023.80931071,80422.375338,0.11220520747844911,725716179.3644586
2022-02-23 01:18:15.954576+00:00,9023.80931071,80422.375338,0.11220520747844911,725716179.3644586
2022-02-23 01:18:48.928236+00:00,8993.12327746,80697.561194,0.11144231801305854,725723116.0080141
2022-02-23 01:19:26.226437+00:00,8993.12327746,80697.561194,0.11144231801305854,725723116.0080141
2022-02-23 01:20:31.182531+00:00,8993.12327746,80697.561194,0.11144231801305854,725723116.0080141
2022-02-23 01:22:42.750539+00:00,8993.12327746,80697.561194,0.11144231801305854,725723116.0080141
2022-02-23 01:23:16.080860+00:00,8993.12327746,80697.561194,0.11144231801305854,725723116.0080141
2022-02-23 01:23:48.134483+00:00,8993.12327746,80697.561194,0.11144231801305854,725723116.0080141
2022-02-23 01:24:21.050480+00:00,8993.12327746,80697.561194,0.11144231801305854,725723116.0080141
2022-02-23 01:25:26.071585+00:00,8883.37124774,81697.361194,0.10873510622510059,725747989.4470092
2022-02-23 01:25:58.482603+00:00,8883.37124774,81697.361194,0.10873510622510059,725747989.4470092
2022-02-23 01:27:03.546475+00:00,8878.80274137,81655.346186,0.10873510622495275,725001711.5637732
2022-02-23 01:28:08.881996+00:00,8878.80274137,81655.346186,0.10873510622495275,725001711.5637732
2022-02-23 01:28:41.190521+00:00,8859.35162427,81835.127772,0.10825854208907632,725006172.1492113
2022-02-23 01:29:14.494479+00:00,8864.35062427,81789.106492,0.10838057786017072,725007317.1908458
2022-02-23 01:29:50.026936+00:00,8864.35062427,81789.106492,0.10838057786017072,725007317.1908458
2022-02-23 01:30:55.165125+00:00,8864.35062427,81789.106492,0.10838057786017072,725007317.1908458
2022-02-23 01:31:27.328146+00:00,8869.34962427,81743.137017,0.10850268227931421,725008461.5883801
2022-02-23 01:31:59.641488+00:00,8869.34962427,81743.137017,0.10850268227931421,725008461.5883801
2022-02-23 01:32:32.450553+00:00,8866.75413184,81767.132217,0.10843909883385312,725009057.4337924
2022-02-23 01:33:40.022533+00:00,8855.95592012,81867.112217,0.1081747686011701,725011537.1012696
2022-02-23 01:35:49.718539+00:00,8861.45482012,81816.452466,0.10830895929889534,725012797.0699545
2022-02-23 01:39:06.158491+00:00,8861.45482012,81816.452466,0.10830895929889534,725012797.0699545
2022-02-23 01:40:11.222632+00:00,8861.45482012,81816.452466,0.10830895929889534,725012797.0699545
2022-02-23 01:42:25.942475+00:00,8861.45482012,81816.452466,0.10830895929889534,725012797.0699545
2022-02-23 01:43:33.894543+00:00,8861.45482012,81816.452466,0.10830895929889534,725012797.0699545
2022-02-23 01:44:07.386512+00:00,8861.45482012,81816.452466,0.10830895929889534,725012797.0699545
2022-02-23 01:44:40.182566+00:00,8839.32922361,82021.821186,0.10776801948307328,725017880.9831237
2022-02-23 01:45:12.842561+00:00,8766.66501902,82703.584289,0.1060010287871648,725034619.3339484
2022-02-23 01:46:20.730501+00:00,8766.66501902,82703.584289,0.1060010287871648,725034619.3339484
2022-02-23 01:50:08.122471+00:00,8766.2423073,82707.583489,0.10599079234936057,725034717.5158188
2022-02-23 01:50:40.486490+00:00,8600.36510669,84307.263489,0.10201214878492804,725073247.1513155
2022-02-23 01:51:14.014538+00:00,8626.21600161,84055.318388,0.10262546340960034,725079332.4989889
2022-02-23 01:51:46.961060+00:00,8567.58037799,84633.162004,0.10123195417873046,725101418.1127192
2022-02-23 01:52:19.338516+00:00,8567.58037799,84633.162004,0.10123195417873046,725101418.1127192
2022-02-23 01:52:51.886542+00:00,8567.58037799,84633.162004,0.10123195417873046,725101418.1127192
2022-02-23 01:56:07.414544+00:00,8563.0604899,84588.513177,0.10123195417777288,724336555.0853543
